brand,search_volume_relative,date,cpc_est,search_volume_abs,ad_spend_est
비에날씬,0.1234,2019-01-01,93,32.23393203847412,2997.7556795780933
비에날씬,0.24283,2019-01-02,93,63.430840493538646,5899.068165899094
비에날씬,0.20302,2019-01-03,93,53.03187100851714,4931.964003792094
비에날씬,0.17117,2019-01-04,93,44.7121729904831,4158.232088114928
비에날씬,0.11942,2019-01-05,93,31.19429630498038,2901.0695563631753
비에날씬,0.13136,2019-01-06,93,34.31320350546159,3191.1279260079277
비에날씬,0.13535,2019-01-07,93,35.35545138903948,3288.0569791806715
비에날씬,0.15923,2019-01-08,93,41.59326579000189,3868.1737184701756
비에날씬,0.15127,2019-01-09,93,39.513994323014415,3674.8014720403407
비에날씬,2.55573,2019-01-10,93,667.5950334577751,62086.33811157309
비에날씬,0.27468,2019-01-11,93,71.75053851157269,6672.80008157626
비에날씬,0.17914,2019-01-12,93,46.79405660755472,4351.8472645025895
비에날씬,1.38136,2019-01-13,93,360.8319640248509,33557.37265431113
비에날씬,0.38614,2019-01-14,93,100.8655633495656,9380.497391509602
비에날씬,0.42993,2019-01-15,93,112.30416856808084,10444.287676831518
비에날씬,0.37818,2019-01-16,93,98.78629188257814,9187.125145079766
비에날씬,0.23089,2019-01-17,93,60.31193329305745,5609.009796254343
비에날씬,0.36226,2019-01-18,93,94.6277489486032,8800.380652220098
비에날씬,0.15525,2019-01-19,93,40.55363005650816,3771.487595255259
비에날씬,0.15127,2019-01-20,93,39.513994323014415,3674.8014720403407
비에날씬,0.20302,2019-01-21,93,53.03187100851714,4931.964003792094
비에날씬,0.26273,2019-01-22,93,68.62901916100734,6382.4987819736825
비에날씬,0.24681,2019-01-23,93,64.47047622703239,5995.754289114013
비에날씬,0.13933,2019-01-24,93,36.39508712253322,3384.743102395589
비에날씬,0.21496,2019-01-25,93,56.150778208998354,5222.0223734368465
비에날씬,0.14331,2019-01-26,93,37.43472285602695,3481.4292256105064
비에날씬,0.11146,2019-01-27,93,29.11502483799291,2707.6973099333404
비에날씬,0.207,2019-01-28,93,54.07150674201088,5028.650127007012
비에날씬,0.14331,2019-01-29,93,37.43472285602695,3481.4292256105064
비에날씬,0.10748,2019-01-30,93,28.075389104499177,2611.0111867184232
비에날씬,0.16321,2019-01-31,93,42.632901523495626,3964.859841685093
비에날씬,0.06767,2019-02-01,93,17.67641961947766,1643.9070246114222
비에날씬,0.07563,2019-02-02,93,19.75569108646513,1837.279271041257
비에날씬,0.07165,2019-02-03,93,18.7160553529714,1740.59314782634
비에날씬,0.02786,2019-02-04,93,7.277450134456149,676.8028625044219
비에날씬,0.03582,2019-02-05,93,9.35672160144362,870.1751089342567
비에날씬,0.06767,2019-02-06,93,17.67641961947766,1643.9070246114222
비에날씬,0.15127,2019-02-07,93,39.513994323014415,3674.8014720403407
비에날씬,0.19108,2019-02-08,93,49.91296380803593,4641.9056341473415
비에날씬,0.72054,2019-02-09,93,188.2158621637126,17504.07518122527
비에날씬,0.23487,2019-02-10,93,61.35156902655118,5705.69591946926
비에날씬,0.30254,2019-02-11,93,79.02798864602883,7349.6029440806815
비에날씬,1.24203,2019-02-12,93,324.4368769023177,30172.629551915546
비에날씬,0.50159,2019-02-13,93,131.0228360711364,12185.123754615684
비에날씬,0.41799,2019-02-14,93,109.18526136759964,10154.229307186766
비에날씬,0.98328,2019-02-15,93,256.84749347480414,23886.816893156785
비에날씬,0.3941,2019-02-16,93,102.94483481655308,9573.869637939437
비에날씬,0.34235,2019-02-17,93,89.42695813105036,8316.707106187683
비에날씬,0.34633,2019-02-18,93,90.4665938645441,8413.3932294026
비에날씬,0.3941,2019-02-19,93,102.94483481655308,9573.869637939437
비에날씬,0.27866,2019-02-20,93,72.79017424506644,6769.486204791178
비에날씬,0.24681,2019-02-21,93,64.47047622703239,5995.754289114013
비에날씬,0.22292,2019-02-22,93,58.23004967598582,5415.394619866681
비에날씬,0.13933,2019-02-23,93,36.39508712253322,3384.743102395589
비에날씬,0.36624,2019-02-24,93,95.66738468209692,8897.066775435014
비에날씬,0.26273,2019-02-25,93,68.62901916100734,6382.4987819736825
비에날씬,0.17117,2019-02-26,93,44.7121729904831,4158.232088114928
비에날씬,0.15525,2019-02-27,93,40.55363005650816,3771.487595255259
비에날씬,0.11544,2019-02-28,93,30.154660571486644,2804.383433148258
비에날씬,0.08757,2019-03-01,93,22.874598286946338,2127.3376406860093
비에날씬,0.13136,2019-03-02,93,34.31320350546159,3191.1279260079277
비에날씬,0.13136,2019-03-03,93,34.31320350546159,3191.1279260079277
비에날씬,0.15525,2019-03-04,93,40.55363005650816,3771.487595255259
비에날씬,0.17515,2019-03-05,93,45.75180872397684,4254.918211329847
비에날씬,0.13136,2019-03-06,93,34.31320350546159,3191.1279260079277
비에날씬,0.13136,2019-03-07,93,34.31320350546159,3191.1279260079277
비에날씬,0.54538,2019-03-08,93,142.46144128965165,13248.914039937603
비에날씬,0.4578,2019-03-09,93,119.58423085262116,11121.333469293768
비에날씬,0.25477,2019-03-10,93,66.54974769401986,6189.126535543846
비에날씬,0.14331,2019-03-11,93,37.43472285602695,3481.4292256105064
비에날씬,0.2906,2019-03-12,93,75.90908144554764,7059.54457443593
비에날씬,0.50955,2019-03-13,93,133.10210753812385,12378.496001045518
비에날씬,0.17117,2019-03-14,93,44.7121729904831,4158.232088114928
비에날씬,0.11544,2019-03-15,93,30.154660571486644,2804.383433148258
비에날씬,0.08757,2019-03-16,93,22.874598286946338,2127.3376406860093
비에날씬,0.07165,2019-03-17,93,18.7160553529714,1740.59314782634
